MoM Growth Rate,Location,Speciality,1/2/22,1/3/22,1/1/23,1/1/24,1/1/25,1/1/26,1/1/27,Profit,,2/1/22
0.001506152,Île-de-France,Radiologists,45,45.06777686,45.75118539,46.58496887,47.43394747,48.29839811,49.17860277,"3,192.52 €",,
0.024531716,Normandie,Radiologists,1,1.024531716,1.305507828,1.746161336,2.335550462,3.12387856,4.178294334,0.00 €,,
-0.00149703,Nouvelle-Aquitaine,Radiologists,2,1.997005941,1.967310767,1.932258842,1.897831443,1.864017443,1.830805913,0.00 €,,
0.032837545,Occitanie,Radiologists,4,4.131350179,5.707056529,8.410007322,12.39311768,18.26269109,26.91218582,"1,403.09 €",,
0.001420635,Provence-Alpes-Côte d'Azur,Radiologists,10,10.01420635,10.1573846,10.33190323,10.50942034,10.68998745,10.87365697,"3,019.76 €",,
0.018641273,Auvergne-Rhône-Alpes,Surgeons,538,548.0290048,659.1985324,822.7567551,1026.896519,1281.686785,1599.694794,"1,607.47 €",,
0.023125387,Bourgogne-Franche-Comté,Surgeons,175,179.0469427,225.0378232,296.0750755,389.5365191,512.500755,674.2808723,"1,482.70 €",,
0.016447363,Bretagne,Surgeons,164,166.6973676,196.2355456,238.6692122,290.2786684,353.0480725,429.3906341,"1,513.40 €",,
0.014227208,Centre-Val de Loire,Surgeons,126,127.7926282,147.1832441,174.3738892,206.5877364,244.7527724,289.9684205,"1,417.72 €",,
0.04699312,Corse,Surgeons,17,17.79888304,28.1728659,48.88289998,84.816998,147.166456,255.3493555,"1,207.92 €",,
0.050325487,DOM-TOM,Surgeons,16,16.80520779,27.45888689,49.49596293,89.2188513,160.8212661,289.8880592,915.35 €,,
0.016907354,Grand Est,Surgeons,346,351.8499444,416.0747555,508.8010777,622.1923662,760.8540107,930.4177566,"1,530.04 €",,
0.015065944,Hauts-de-France,Surgeons,351,356.2881464,413.7556594,495.0796043,592.3878237,708.8220372,848.1414713,"1,567.14 €",,
0.009440742,Île-de-France,Surgeons,1279,1291.07471,1418.272457,1587.558081,1777.049712,1989.159147,2226.586057,"1,609.57 €",,
0.022024028,Normandie,Surgeons,194,198.2726614,246.53234,320.1895635,415.8535816,540.0994318,701.4665959,"1,440.69 €",,
0.021722729,Nouvelle-Aquitaine,Surgeons,452,461.8186737,572.534997,740.9667117,958.9486593,1241.057819,1606.159512,"1,520.92 €",,
0.020226449,Occitanie,Surgeons,462,471.3446192,575.8433214,732.2565601,931.1554894,1184.08027,1505.705655,"1,589.37 €",,
0.027595221,Pays de la Loire,Surgeons,197,202.4362585,265.7718989,368.4461038,510.7858731,708.1149873,981.6771795,"1,437.72 €",,
0.027264601,Provence-Alpes-Côte d'Azur,Surgeons,605,621.4950838,813.3190164,1123.178552,1551.088853,2142.025081,2958.097107,"1,613.39 €",,
